Wall time,Step,Value
1647100790.6245418,8192,11.300000190734863
1647100864.3075714,16384,10.9399995803833
1647100945.5760255,24576,11.569999694824219
1647101019.4658792,32768,11.470000267028809
1647101075.0218751,40960,16.959999084472656
1647101117.0679667,49152,20.729999542236328
1647101158.4624157,57344,31.6299991607666
1647101194.3175304,65536,41.400001525878906
1647101225.3048928,73728,70.80000305175781
1647101255.7144523,81920,83.7300033569336
1647101287.0410922,90112,109.95999908447266
1647101308.4704,98304,122.19999694824219
1647101341.9648113,106496,142.3699951171875
1647101387.0834146,114688,162.91000366210938
1647101429.843836,122880,174.4600067138672
1647101471.693043,131072,181.97000122070312
1647101503.222988,139264,194.75999450683594
1647101544.1776826,147456,186.91000366210938
1647101585.577922,155648,185.4600067138672
1647101625.215804,163840,189.61000061035156
1647101662.7916646,172032,185.60000610351562
1647101701.9603548,180224,176.42999267578125
1647101730.8631918,188416,181.8000030517578
1647101774.523436,196608,180.05999755859375
1647101814.8078063,204800,177.8699951171875
1647101856.9328475,212992,172.16000366210938
1647101903.6078532,221184,180.52000427246094
1647101935.198492,229376,179.1300048828125
1647101977.2990315,237568,178.35000610351562
1647102018.0860357,245760,181.99000549316406
1647102059.7619164,253952,177.10000610351562
1647102099.6728249,262144,176.38999938964844
1647102143.0169523,270336,172.94000244140625
1647102173.8052459,278528,172.0399932861328
1647102216.3900225,286720,169.14999389648438
1647102259.9243212,294912,170.72000122070312
1647102305.409633,303104,165.05999755859375
1647102347.5002906,311296,152.25
1647102381.0391674,319488,161.88999938964844
1647102426.2004507,327680,171.38999938964844
1647102467.6832948,335872,176.19000244140625
1647102513.8397474,344064,173.75
1647102556.0107486,352256,162.17999267578125
1647102595.5948648,360448,160.25
1647102625.7585993,368640,162.8300018310547
1647102669.189861,376832,160.10000610351562
1647102713.7406943,385024,156.11000061035156
1647102755.6094162,393216,157.4600067138672
1647102797.016956,401408,162.66000366210938
1647102825.9453468,409600,164.22000122070312
1647102868.3411434,417792,162.88999938964844
1647102914.3276846,425984,157.77999877929688
1647102957.0259643,434176,155.8800048828125
1647103003.2146776,442368,160.05999755859375
1647103051.1851113,450560,159.69000244140625
1647103080.8360865,458752,156.77000427246094
1647103118.075607,466944,162.41000366210938
1647103148.1944919,475136,163.82000732421875
1647103178.3346004,483328,161.99000549316406
1647103214.9328263,491520,163.63999938964844
1647103246.5127647,499712,159.57000732421875
1647103286.884182,507904,160.0
1647103328.26037,516096,163.11000061035156
1647103359.525867,524288,159.8300018310547
1647103390.427338,532480,159.32000732421875
1647103432.5141928,540672,163.58999633789062
1647103461.7672727,548864,171.38999938964844
1647103502.8651628,557056,165.05999755859375
1647103547.9729753,565248,161.25999450683594
1647103588.9369626,573440,164.0
1647103629.8579376,581632,158.52000427246094
1647103659.594402,589824,156.9199981689453
1647103699.10992,598016,160.22999572753906
1647103739.5252814,606208,161.6199951171875
1647103783.5756526,614400,161.07000732421875
1647103828.1289117,622592,159.75999450683594
1647103872.0575454,630784,159.72000122070312
1647103901.0931828,638976,164.91000366210938
1647103943.58177,647168,164.27999877929688
1647103983.4966652,655360,162.02999877929688
1647104026.8437297,663552,164.75999450683594
1647104069.3451254,671744,166.5399932861328
1647104101.2180023,679936,159.86000061035156
1647104143.7756414,688128,154.3000030517578
1647104185.7198417,696320,161.42999267578125
1647104226.0217943,704512,161.97999572753906
1647104262.0034516,712704,156.75
