Wall time,Step,Value
1647027489.3920202,8192,11.9399995803833
1647027513.5693862,16384,10.329999923706055
1647027537.2156718,24576,10.9399995803833
1647027562.602756,32768,13.989999771118164
1647027591.2029214,40960,17.190000534057617
1647027615.1981368,49152,20.719999313354492
1647027639.158441,57344,30.040000915527344
1647027664.9743354,65536,45.5099983215332
1647027689.972769,73728,73.04000091552734
1647027720.9441214,81920,95.83000183105469
1647027753.0148754,90112,132.4600067138672
1647027774.741386,98304,165.49000549316406
1647027805.1596923,106496,182.1699981689453
1647027836.547916,114688,182.02999877929688
1647027868.655044,122880,186.10000610351562
1647027908.8065712,131072,208.35000610351562
1647027933.6834865,139264,231.5399932861328
1647027973.039291,147456,251.7899932861328
1647028012.1376207,155648,261.54998779296875
1647028051.2596288,163840,276.3399963378906
1647028090.0042999,172032,292.5299987792969
1647028123.4402997,180224,290.3599853515625
1647028141.0597324,188416,305.2699890136719
1647028168.7738557,196608,319.1000061035156
1647028194.4231708,204800,304.9200134277344
1647028220.7545888,212992,316.1000061035156
1647028248.5129514,221184,311.94000244140625
1647028266.1531632,229376,308.7200012207031
1647028294.4881916,237568,308.0400085449219
1647028318.1516347,245760,307.94000244140625
1647028345.9780223,253952,304.4200134277344
1647028384.4434488,262144,294.8500061035156
