Wall time,Step,Value
1647038080.500789,8192,-0.3970000147819519
1647038664.195646,16384,0.5509999990463257
1647039326.9055552,24576,2.4639999866485596
1647039911.0991998,32768,6.146999835968018
1647040511.8987517,40960,10.307000160217285
1647041074.1840012,49152,21.799999237060547
1647041655.507751,57344,37.15700149536133
1647042286.5779061,65536,62.141998291015625
1647042799.423099,73728,103.41500091552734
1647043327.2634654,81920,132.03500366210938
1647043837.1203268,90112,144.23699951171875
1647044202.1244688,98304,166.177001953125
1647044677.1874642,106496,184.03700256347656
1647045169.4124825,114688,203.3459930419922
1647045747.81205,122880,204.7989959716797
1647046228.2645023,131072,212.72799682617188
1647046537.1816056,139264,223.1020050048828
1647046998.615103,147456,223.4199981689453
1647047414.8507688,155648,221.97799682617188
1647047873.4862037,163840,225.8000030517578
1647048319.9189994,172032,228.67300415039062
1647048848.370447,180224,229.94200134277344
1647049165.2400405,188416,231.5749969482422
1647049625.6113763,196608,232.31700134277344
1647050106.2096949,204800,233.08399963378906
1647050557.775802,212992,233.00900268554688
1647051000.5192208,221184,231.89100646972656
1647051313.3166277,229376,233.01600646972656
1647051764.1693652,237568,232.63499450683594
1647052218.9272647,245760,232.0030059814453
1647052668.3315272,253952,231.83099365234375
1647053205.3147337,262144,231.79600524902344
1647053660.9053102,270336,232.8350067138672
1647053988.7412553,278528,233.31900024414062
1647054464.1328652,286720,233.60000610351562
1647054928.6871123,294912,234.7169952392578
1647055415.2861235,303104,233.8679962158203
1647055946.0274882,311296,234.51800537109375
1647056251.517575,319488,234.60899353027344
1647056661.9998305,327680,235.1009979248047
1647057082.5136821,335872,233.82699584960938
1647057499.2941394,344064,233.80599975585938
1647057925.0014455,352256,234.7030029296875
1647058341.8798947,360448,234.843994140625
1647058635.461032,368640,234.7760009765625
1647059055.0585837,376832,233.88099670410156
1647059464.3791447,385024,233.15699768066406
1647059865.94353,393216,233.468994140625
1647060284.2272232,401408,234.03700256347656
1647060579.8710663,409600,233.593994140625
1647061002.0067103,417792,234.05299377441406
1647061436.6435661,425984,235.21299743652344
1647061850.440358,434176,235.16400146484375
1647062264.277774,442368,234.86500549316406
1647062686.216826,450560,234.1020050048828
1647062989.272016,458752,234.5540008544922
1647063398.7910724,466944,235.35299682617188
1647063811.8729405,475136,235.20799255371094
1647064226.694426,483328,234.88299560546875
1647064650.2592797,491520,234.9969940185547
1647064950.3969078,499712,234.8179931640625
1647065360.0658653,507904,234.6699981689453
1647065783.9001522,516096,234.9409942626953
1647066203.20405,524288,235.11199951171875
1647066647.1478052,532480,234.8419952392578
1647067071.7527952,540672,235.4250030517578
1647067360.4156487,548864,234.9040069580078
1647067789.1996064,557056,234.89500427246094
1647068190.858061,565248,235.08799743652344
1647068598.4648385,573440,234.98199462890625
1647069022.1462734,581632,234.71099853515625
1647069318.9324381,589824,234.59500122070312
1647069732.0391319,598016,234.78700256347656
1647070121.4229498,606208,234.322998046875
1647070524.9291127,614400,233.46400451660156
1647070966.6227925,622592,234.79200744628906
