Wall time,Step,Value
1647027489.3921146,8192,-0.8349999785423279
1647027513.5695498,16384,0.6840000152587891
1647027537.2157621,24576,1.6230000257492065
1647027562.6028736,32768,3.1059999465942383
1647027591.2030358,40960,5.519999980926514
1647027615.198318,49152,11.059000015258789
1647027639.1585257,57344,19.73900032043457
1647027664.9744463,65536,31.631000518798828
1647027689.9728808,73728,66.53099822998047
1647027720.944263,81920,90.04399871826172
1647027753.0149612,90112,119.4990005493164
1647027774.7414868,98304,149.7209930419922
1647027805.1597824,106496,161.9770050048828
1647027836.5480247,114688,166.43499755859375
1647027868.6551902,122880,172.7550048828125
1647027908.8066785,131072,181.29200744628906
1647027933.6836174,139264,190.8509979248047
1647027973.0394275,147456,197.52699279785156
1647028012.1377451,155648,203.6790008544922
1647028051.2597778,163840,206.54400634765625
1647028090.004434,172032,205.08900451660156
1647028123.4404004,180224,204.94000244140625
1647028141.0598407,188416,204.73300170898438
1647028168.7739716,196608,204.22300720214844
1647028194.4232872,204800,206.5959930419922
1647028220.7546923,212992,206.90899658203125
1647028248.5131752,221184,208.73399353027344
1647028266.153243,229376,208.76100158691406
1647028294.4882896,237568,209.3509979248047
1647028318.15174,245760,209.88499450683594
1647028345.9781961,253952,209.5240020751953
1647028384.44353,262144,211.1020050048828
