Wall time,Step,Value
1647100790.624734,8192,136.0
1647100864.3077497,16384,122.0
1647100945.576152,24576,114.0
1647101019.4665196,32768,113.0
1647101075.022038,40960,118.0
1647101117.068117,49152,127.0
1647101158.4625878,57344,134.0
1647101194.3176591,65536,141.0
1647101225.3050206,73728,149.0
1647101255.7146049,81920,156.0
1647101287.0412571,90112,161.0
1647101308.4705257,98304,170.0
1647101341.964941,106496,174.0
1647101387.0836482,114688,174.0
1647101429.8440893,122880,175.0
1647101471.6932118,131072,176.0
1647101503.2231157,139264,180.0
1647101544.1778488,147456,181.0
1647101585.5781186,155648,182.0
1647101625.215935,163840,183.0
1647101662.7918031,172032,184.0
1647101701.9605038,180224,185.0
1647101730.8634033,188416,188.0
1647101774.5235612,196608,188.0
1647101814.807976,204800,188.0
1647101856.9330554,212992,189.0
1647101903.608112,221184,188.0
1647101935.198655,229376,190.0
1647101977.2991633,237568,190.0
1647102018.086204,245760,190.0
1647102059.7620704,253952,191.0
1647102099.6731427,262144,191.0
1647102143.0171797,270336,191.0
1647102173.8054194,278528,193.0
1647102216.390273,286720,192.0
1647102259.924452,294912,192.0
1647102305.409878,303104,192.0
1647102347.5004778,311296,192.0
1647102381.039399,319488,193.0
1647102426.2008002,327680,193.0
1647102467.683438,335872,193.0
1647102513.8399675,344064,192.0
1647102556.0109394,352256,192.0
1647102595.5950541,360448,193.0
1647102625.7587378,368640,194.0
1647102669.18999,376832,194.0
1647102713.7408648,385024,194.0
1647102755.60957,393216,194.0
1647102797.0171208,401408,194.0
1647102825.9455338,409600,195.0
1647102868.3413677,417792,195.0
1647102914.327914,425984,195.0
1647102957.0261276,434176,195.0
1647103003.2148917,442368,194.0
1647103051.1852665,450560,194.0
1647103080.8363156,458752,195.0
1647103118.0757406,466944,195.0
1647103148.19467,475136,196.0
1647103178.334715,483328,197.0
1647103214.9337692,491520,197.0
1647103246.5130005,499712,198.0
1647103286.8843555,507904,198.0
1647103328.2605882,516096,198.0
1647103359.5260572,524288,199.0
1647103390.42752,532480,200.0
1647103432.5144413,540672,200.0
1647103461.7674406,548864,200.0
1647103502.8653927,557056,200.0
1647103547.973194,565248,200.0
1647103588.9372709,573440,200.0
1647103629.85814,581632,200.0
1647103659.5945842,589824,201.0
1647103699.1100914,598016,201.0
1647103739.5254855,606208,201.0
1647103783.5759225,614400,201.0
1647103828.1290307,622592,201.0
1647103872.057778,630784,200.0
1647103901.0935225,638976,201.0
1647103943.581958,647168,201.0
1647103983.4968352,655360,201.0
1647104026.8439922,663552,201.0
1647104069.3453248,671744,201.0
1647104101.2181337,679936,201.0
1647104143.775794,688128,201.0
1647104185.7200663,696320,201.0
1647104226.0220044,704512,201.0
1647104262.0036952,712704,201.0
