Wall time,Step,Value
1647038080.5008342,8192,13.0
1647038664.195716,16384,13.0
1647039326.9056053,24576,13.0
1647039911.0992353,32768,13.0
1647040511.8987875,40960,13.0
1647041074.184069,49152,13.0
1647041655.5078192,57344,13.0
1647042286.5779865,65536,13.0
1647042799.4231465,73728,13.0
1647043327.2635314,81920,13.0
1647043837.120376,90112,14.0
1647044202.124512,98304,14.0
1647044677.1875305,106496,14.0
1647045169.4125464,114688,14.0
1647045747.8121138,122880,14.0
1647046228.2645671,131072,14.0
1647046537.181679,139264,15.0
1647046998.6151662,147456,15.0
1647047414.850834,155648,15.0
1647047873.4862711,163840,15.0
1647048319.9190888,172032,15.0
1647048848.3705108,180224,15.0
1647049165.2400885,188416,16.0
1647049625.6114209,196608,16.0
1647050106.2097743,204800,16.0
1647050557.7758484,212992,16.0
1647051000.5192692,221184,16.0
1647051313.3166754,229376,16.0
1647051764.169403,237568,16.0
1647052218.927328,245760,16.0
1647052668.3315961,253952,16.0
1647053205.3148081,262144,16.0
1647053660.9053469,270336,16.0
1647053988.7413063,278528,16.0
1647054464.132929,286720,16.0
1647054928.687152,294912,16.0
1647055415.2861867,303104,16.0
1647055946.0275526,311296,16.0
1647056251.5176353,319488,17.0
1647056661.9998944,327680,17.0
1647057082.5137427,335872,17.0
1647057499.2942047,344064,17.0
1647057925.001517,352256,17.0
1647058341.8799796,360448,17.0
1647058635.4610915,368640,17.0
1647059055.058641,376832,17.0
1647059464.3792117,385024,17.0
1647059865.9435809,393216,17.0
1647060284.2272878,401408,17.0
1647060579.8711395,409600,17.0
1647061002.0067565,417792,17.0
1647061436.6436164,425984,17.0
1647061850.440414,434176,17.0
1647062264.2778285,442368,17.0
1647062686.216888,450560,17.0
1647062989.2720752,458752,17.0
1647063398.791148,466944,18.0
1647063811.8729947,475136,18.0
1647064226.6944656,483328,18.0
1647064650.2593317,491520,18.0
1647064950.3969653,499712,18.0
1647065360.065933,507904,18.0
1647065783.9002151,516096,18.0
1647066203.204115,524288,18.0
1647066647.1478562,532480,18.0
1647067071.7528372,540672,18.0
1647067360.4157088,548864,18.0
1647067789.1996627,557056,18.0
1647068190.8581061,565248,18.0
1647068598.4649003,573440,18.0
1647069022.1463332,581632,18.0
1647069318.9324775,589824,18.0
1647069732.039191,598016,18.0
1647070121.4230173,606208,18.0
1647070524.929175,614400,18.0
1647070966.6228373,622592,18.0
