Wall time,Step,Value
1648303895.0697505,0,0.6073174476623535
1648304508.421441,1,0.8010834455490112
1648305189.8300323,2,0.8148719668388367
1648305853.2761314,3,0.8216956853866577
1648306555.800985,4,0.8267273902893066
1648307317.4901767,5,0.8303303122520447
1648308057.0425951,6,0.8334177732467651
1648308837.5228677,7,0.8357386589050293
1648309632.9473863,8,0.8382983803749084
1648310353.8639653,9,0.8403681516647339
1648311084.232582,10,0.852997899055481
1648311872.4443414,11,0.8562608957290649
1648312643.836222,12,0.8583050966262817
1648313426.5802808,13,0.8596860766410828
1648314192.7421656,14,0.8609681725502014
1648314945.5892818,15,0.8626646399497986
1648315720.8858178,16,0.8635712265968323
1648316498.7242692,17,0.8648566603660583
1648317253.6776035,18,0.8658198714256287
1648317998.6821434,19,0.8669408559799194
1648318787.8343194,20,0.8702204823493958
1648319553.1001453,21,0.8709082007408142
1648320302.8824432,22,0.8712215423583984
1648321087.4639955,23,0.8714170455932617
1648321860.2884724,24,0.8717114329338074
1648322646.813948,25,0.8719680905342102
1648323421.6518478,26,0.8721081018447876
1648324211.1541579,27,0.8724202513694763
1648324983.5273972,28,0.8726169466972351
1648325778.0775015,29,0.8727424740791321
1648326560.6867616,30,0.8732690811157227
1648327340.977725,31,0.8732523918151855
